academic_year,author,title,project_id,pdf_url,degree_program,is_msc_ai,submission_year,abstract_snippet,source
2023-2024,"-, Aakansha Ramesh",Enhancing Spike System through Advanced Feature Extraction,20247001,https://project-archive.inf.ed.ac.uk/msc/20247001/msc_proj.pdf,MSc Computer Science,False,2024,"Enhancing Spike System through Advanced Feature Extraction and Clustering Algorithms on High-Density Multi-Electrode Arrays Aakansha Ramesh T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract Advancements in neurotechnology have enabled the recording of neuronal activity with unprecedented detail, using high-d",UoE Informatics Outstanding MSc Archive
2023-2024,"-, Harsh",Efficient Multi-Stream Machine Learning on Apache Flink,20247415,https://project-archive.inf.ed.ac.uk/msc/20247415/msc_proj.pdf,MSc Computer Science,False,2024,"Efficient Multi-Stream Machine Learning on Apache Flink Harsh T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract Across numerous sectors, a pressing demand has risen for real-time machine learning model training, a pivotal requirement for swift decision-making. Extensive research has been conducted to address",UoE Informatics Outstanding MSc Archive
2023-2024,"Abdurrahman, .",A Bot To Manage Privacy Within Telegram Group Chat,20247081,https://project-archive.inf.ed.ac.uk/msc/20247081/msc_proj.pdf,MSc School Of Informatics,False,2024,"A Bot To Manage Privacy Within Telegram Group Chat . Abdurrahman T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract In the current digital landscape, privacy concerns on social networking platforms have become increasingly significant, particularly within messaging applications that incorporate social networking features, suc",UoE Informatics Outstanding MSc Archive
2023-2024,"Adamski, Mateusz",Comprehensive Financial Data Analysis and Visualization,20247241,https://project-archive.inf.ed.ac.uk/msc/20247241/msc_proj.pdf,MSc School Of Informatics,False,2024,Comprehensive Financial Data Analysis and Visualization Platform for Regional and Sectoral Insights Mateusz Adamski T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This dissertation develops a financial data analysis and visualization platform to enhance regional and sectoral insights for investors and analysts. Addressing,UoE Informatics Outstanding MSc Archive
2023-2024,"Akhouri, Arth",Large Language Model-driven Data Augmentation for Neural,20247098,https://project-archive.inf.ed.ac.uk/msc/20247098/msc_proj.pdf,MSc Data Science,False,2024,"Large Language Model-driven Data Augmentation for Neural Link Predictors Arth Akhouri T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Data Science School of Informatics University of Edinburgh 2024 Abstract In this modern era, all the technological advancements in the fields of Machine Learn- ing (ML) and Artificial Intelligence (AI) are primarily because of data. The way this know",UoE Informatics Outstanding MSc Archive
2023-2024,"Arshad, Mohammad",Developing a Hybrid Django-React Architecture for an,20247349,https://project-archive.inf.ed.ac.uk/msc/20247349/msc_proj.pdf,MSc Data Science,False,2024,"Developing a Hybrid Django-React Architecture for an Investor-Startup Recommendation System Mohammad Arshad T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Data Science School of Informatics University of Edinburgh 2024 Abstract This dissertation explores the development and implementation of a hybrid Django- React architecture for an investor-startup recommendation system, address",UoE Informatics Outstanding MSc Archive
2023-2024,"Baeza Hirnyak, Ivan",Detecting user radicalization on YouTube using time-series,20247289,https://project-archive.inf.ed.ac.uk/msc/20247289/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Detecting user radicalization on YouTube using time-series modelling Ivan Baeza Hirnyak T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract This dissertation presents a new approach to predicting user radicalization on YouTube by using time-series models, which can capture the temporal progression of us",UoE Informatics Outstanding MSc Archive
2023-2024,"Barlow, Benjamin",Intelligent optimization of borehole geophysics planning,20247436,https://project-archive.inf.ed.ac.uk/msc/20247436/msc_proj.pdf,MSc School Of Informatics,False,2024,"Intelligent optimization of borehole geophysics planning for critical mineral exploration Benjamin Barlow T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract The transition to a carbon-free energy grid and transportation network hinges on accel- erating the discovery of the battery metals: copper, nickel, cobalt, and lithium. ",UoE Informatics Outstanding MSc Archive
2023-2024,"Bermejo, Tomas",Automating Systematic Reviews: Generalisation to New,20247282,https://project-archive.inf.ed.ac.uk/msc/20247282/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Automating Systematic Reviews: Generalisation to New Abstract Screening Tasks with Merged Expert LoRAs Tom´as Bermejo T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Systematic reviews (SRs) of academic literature are a crucial part of many scientific fields including healthcare, but the large time ",UoE Informatics Outstanding MSc Archive
2023-2024,"Birskus, Mantas",LBPO: Lagrangian-Based Policy Optimization,20247275,https://project-archive.inf.ed.ac.uk/msc/20247275/msc_proj.pdf,MSc School Of Informatics,False,2024,LBPO: Lagrangian-Based Policy Optimization Mantas Birskus T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Physics-Informed Neural Networks (PINNs) are revolutionizing scientific machine learning by imposing mathematical constraints on data-driven predictions. This has sparked interest in time-sensitive Physics-Informed Rei,UoE Informatics Outstanding MSc Archive
2023-2024,"Bochman, Sean",Optimising Tree Planting Strategies and Visualising Layouts,20247046,https://project-archive.inf.ed.ac.uk/msc/20247046/msc_proj.pdf,MSc Computer Science,False,2024,Optimising Tree Planting Strategies and Visualising Layouts With Virtual and Mixed Reality Sean Bochman T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract This project recreates a previously established apartment complex case study that defined several constraints and utilised a linear programming solution fo,UoE Informatics Outstanding MSc Archive
2023-2024,"Chakravorty, Srijan",IDentityRec: Revolutionizing Sequential Recommendations by,20247251,https://project-archive.inf.ed.ac.uk/msc/20247251/msc_proj.pdf,MSc Data Science,False,2024,IDentityRec: Revolutionizing Sequential Recommendations by Integrating Collaborative Embeddings with LLM Intelligence Srijan Chakravorty T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Data Science School of Informatics University of Edinburgh 2024 Abstract The thesis investigates the advantages of combining the strengths of sequential pattern learning with robust contextual unders,UoE Informatics Outstanding MSc Archive
2023-2024,"Chan, Kwan Loong",Formal verification of the PSP Security Protocol,20246917,https://project-archive.inf.ed.ac.uk/msc/20246917/msc_proj.pdf,MSc Cyber Security,False,2024,"Formal verification of the PSP Security Protocol Kwan Loong Chan T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Cyber Security, Privacy and Trust School of Informatics University of Edinburgh 2024 Abstract Formal verification offers a robust framework for proving the security of protocols or identifying potential attacks. These methods have been effectively used in the design and ",UoE Informatics Outstanding MSc Archive
2023-2024,"Chen, Jiaxi",A Privacy Tool for Detecting and Preventing Youtube Data,20247272,https://project-archive.inf.ed.ac.uk/msc/20247272/msc_proj.pdf,MSc Cyber Security,False,2024,"A Privacy Tool for Detecting and Preventing Youtube Data Leaks Jiaxi Chen T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Cyber Security, Privacy and Trust School of Informatics University of Edinburgh 2024 Abstract This work presents the design and evaluation of a Chrome browser-based plugin aimed at detecting privacy leaks in YouTube videos, specifically tailored for content crea",UoE Informatics Outstanding MSc Archive
2023-2024,"Chen, Yihang",Efficiency Meets Translation Quality: Evaluating Mamba,20247170,https://project-archive.inf.ed.ac.uk/msc/20247170/msc_proj.pdf,MSc School Of Informatics,False,2024,"Efficiency Meets Translation Quality: Evaluating Mamba Against Attention in Neural Machine Translation Yihang Chen T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Neural Machine Translation (NMT) plays a crucial role in the advancement of natural language processing and the real world. However, competitive NMT systems pred",UoE Informatics Outstanding MSc Archive
2023-2024,"Cui, Shizhe",Clustering Framework for Scala Programming Assignments,20247217,https://project-archive.inf.ed.ac.uk/msc/20247217/msc_proj.pdf,MSc School Of Informatics,False,2024,Clustering Framework for Scala Programming Assignments Based on Stainless Shizhe Cui T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Manually grading programming assignments is a labour-intensive task. The numerous repetitive errors in these assignments require human graders to spend considerable time and effort on redunda,UoE Informatics Outstanding MSc Archive
2023-2024,"Cundy, Owen",Quantum Transfer Learning for Natural Language,20247319,https://project-archive.inf.ed.ac.uk/msc/20247319/msc_proj.pdf,MSc Computer Science,False,2024,"Quantum Transfer Learning for Natural Language Classification: Alternative Circuit Designs and Evaluation B240712 T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract Quantum Transfer Learning, a variation of transfer learning in which a variational quantum circuit is used to to process the output of a pretaine",UoE Informatics Outstanding MSc Archive
2023-2024,"Del Campo Olano, Carlos",Damaged/missing part detection from images and 3D models in,20247055,https://project-archive.inf.ed.ac.uk/msc/20247055/msc_proj.pdf,MSc Data Science,False,2024,"Damaged/missing part detection from images and 3D models in articulated objects Carlos del Campo Olano T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Data Science School of Informatics University of Edinburgh 2024 Abstract Manufacturing, especially in articulated objects, results in complex quality assurance processes. In light of this, devising anomaly detection is quite a diffic",UoE Informatics Outstanding MSc Archive
2023-2024,"Desmitniece, Beate",Graph Neural Network Approach to Census Prediction:,20247283,https://project-archive.inf.ed.ac.uk/msc/20247283/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Graph Neural Network Approach to Census Prediction: Mozambique Case Study Beate Desmitniece T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Up-to-date census information is essential for effective resource allocation, service planning and disaster mitigation. While previous studies have utilised pro",UoE Informatics Outstanding MSc Archive
2023-2024,"Dhatchina Moorthy, Harish",Tree species classification with high resolution satellite,20247196,https://project-archive.inf.ed.ac.uk/msc/20247196/msc_proj.pdf,MSc Data Science,False,2024,Enhanced Tree Species Detection in Dense Forest Ecosystems: Leveraging Innovative Techniques and Multi-spectral satellite imagery Harish Dhatchina Moorthy T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Data Science School of Informatics University of Edinburgh 2024 Abstract This thesis investigates the performance of multiple models for tree species detection and health assessment,UoE Informatics Outstanding MSc Archive
2023-2024,"Draper, Matthew",Optimising Vector Embedding Models for Example Selection in,20247134,https://project-archive.inf.ed.ac.uk/msc/20247134/msc_proj.pdf,MSc Computer Science,False,2024,"Optimising Vector Embedding Models for Example Selection in Text-to-SQL Generation Matthew Draper T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract A comprehensive survey is conducted to assess the impact of altering the vector embedding model within a standard Text-to-SQL example selection algorithm, focusi",UoE Informatics Outstanding MSc Archive
2023-2024,"Drmac, Maja",InjectNeRF: a simple yet effective method for measuring and,20247258,https://project-archive.inf.ed.ac.uk/msc/20247258/msc_proj.pdf,MSc Statistics,False,2024,"InjectNeRF: a simple yet effective method for measuring and visualising epistemic uncertainty in few-shot novel view synthesis Maja Drmaˇc T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This project introduces a novel method for displaying uncertainty of few-shot novel view synthesis models, with a focus on approaches tha",UoE Informatics Outstanding MSc Archive
2023-2024,"Duan, Wenxing",DECentralized oracles (DECO): Extensions and Applications,20246952,https://project-archive.inf.ed.ac.uk/msc/20246952/msc_proj.pdf,MSc Blockchain,False,2024,"DECentralized oracles (DECO): Extensions and Applications Wenxing Duan T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This paper focuses on a blockchain oracle protocol, Decentralized Oracles (DECO). It provides a detailed analysis of DECO’s operational mechanisms, highlighting its deficiencies and potential privacy risks",UoE Informatics Outstanding MSc Archive
2023-2024,"Fitch, Joshua",Fine-tuning Methods for Predicting Protein-ligand Binding,20247385,https://project-archive.inf.ed.ac.uk/msc/20247385/msc_proj.pdf,MSc School Of Informatics,False,2024,Fine-Tuning Methods for Predicting Protein-ligand Binding Affinity with Molecular LLMs Joshua Fitch T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Predicting binding affinity of a ligand and target protein is essential in applications like modelling biological systems and drug discovery. Due to the cost and difficulty of ,UoE Informatics Outstanding MSc Archive
2023-2024,"Floros, Alexandros",Enhancing Vision Transformers on Small Datasets Using,20247356,https://project-archive.inf.ed.ac.uk/msc/20247356/msc_proj.pdf,MSc School Of Informatics,False,2024,"Enhancing Vision Transformers on Small Datasets Using Self-Supervised Auxiliary Tasks Alexandros Floros T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Vision Transformers (ViTs) have emerged as a strong alternative to Convolutional Neural Networks (CNNs), which have been dominant in the field of computer vision over the p",UoE Informatics Outstanding MSc Archive
2023-2024,"Fyksen, Elias",Mitigating Overestimation in Stochastic Environments: A,20247112,https://project-archive.inf.ed.ac.uk/msc/20247112/msc_proj.pdf,MSc Artificial Intelligence,True,2024,Mitigating Overestimation in Stochastic Environments: A Causal Approach to Planning in Reinforcement Learning Elias F . Fyksen T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract This thesis investigates the integration of causal inference techniques into reinforcement learning to enhance planning in st,UoE Informatics Outstanding MSc Archive
2023-2024,"Galkins, Maksims",Grammar-assisted neural semantic parsing,20247328,https://project-archive.inf.ed.ac.uk/msc/20247328/msc_proj.pdf,MSc Cognitive Science,False,2024,"Grammar-assisted neural semantic parsing Maksims Galkins T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Cognitive Science School of Informatics University of Edinburgh 2024 Abstract Neural seq2seq semantic parsers are known to struggle with compositional generali- sation - that is, parsing familiar elements recombined in novel ways, unseen during training. We propose a simple meth",UoE Informatics Outstanding MSc Archive
2023-2024,"Geng, Wenjia",Neon City Defender: When A Serious Game Meets Web,20247395,https://project-archive.inf.ed.ac.uk/msc/20247395/msc_proj.pdf,MSc School Of Informatics,False,2024,"Neon City Defender: When A Serious Game Meets Web Application Security Teaching Wenjia Geng T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract With the rapid development of the internet, web applications have become deeply embedded in daily life, while cybercrime has also increased in prevalence. This has exacerbated the glob",UoE Informatics Outstanding MSc Archive
2023-2024,"Gerhard, Serenna",Comparative Analysis of Homeostatic Plasticity Mechanisms,20247445,https://project-archive.inf.ed.ac.uk/msc/20247445/msc_proj.pdf,MSc School Of Informatics,False,2024,Comparative Analysis of Homeostatic Plasticity Mechanisms in Recurrent Spiking Neural Networks Serenna Gerhard T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Hebbian plasticity alone is unable to account for stable neural function. Regulatory mechanisms are needed to maintain constancy in neuronal properties amidst Hebbia,UoE Informatics Outstanding MSc Archive
2023-2024,"Guruswamy, Vaikunth",Investigating Memorization in Code-Based Large Language,20247210,https://project-archive.inf.ed.ac.uk/msc/20247210/msc_proj.pdf,MSc School Of Informatics,False,2024,"Investigating Memorization in Code-Based Large Language Models V aikunth Guruswamy T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Code-based language models have shown impressive performance in various program- ming tasks, but their memorization of training data remains largely unexplored. This project investigates the me",UoE Informatics Outstanding MSc Archive
2023-2024,"Hadjiantonis, Harris",Overcoming Catastrophic Forgetting in Continual Learning,20247300,https://project-archive.inf.ed.ac.uk/msc/20247300/msc_proj.pdf,MSc School Of Informatics,False,2024,Overcoming Catastrophic Forgetting in Continual Learning using Kolmogorov-Arnold Networks Harris Hadjiantonis T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract Traditional Deep Neural Networks have been optimised to perform well in scenar- ios where they are given a single task to complete and have access to the entirety of ,UoE Informatics Outstanding MSc Archive
2023-2024,"Hamid, Irfan",Tree Species Classification with High Resolution Satellite,20246990,https://project-archive.inf.ed.ac.uk/msc/20246990/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Tree Species Classification with High Resolution Satellite Imagery in a Multi-Label Setting Irfan Hamid T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Forests play a critical role in maintaining ecological balance, providing numerous ecological services such as carbon sequestration, biodiversity pr",UoE Informatics Outstanding MSc Archive
2023-2024,"Hassan Bashir, Israa",Multimodal Peach Tree Disease Detection,20247365,https://project-archive.inf.ed.ac.uk/msc/20247365/msc_proj.pdf,MSc School Of Informatics,False,2024,"Multimodal Peach Tree Disease Detection Israa Bashir T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This study explores the use of multimodal fusion approaches to combine information from many sources, such as ground RGB photos, multispectral imagery, and tabular data, to improve the classification performance of peach tr",UoE Informatics Outstanding MSc Archive
2023-2024,"Hu, Chen",Scaling Pixel-based Language Models,20247194,https://project-archive.inf.ed.ac.uk/msc/20247194/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Scaling Pixel-based Language Models Chen Hu T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Recently, Pixel-based Language Models have been shown to perform well in natural language processing tasks. However, most of these pixel-based LLMs can only process discriminative tasks. While PIXAR can handl",UoE Informatics Outstanding MSc Archive
2023-2024,"Jeong, Jinyoung",Reimagining Generative Agents: 3D Architecture,20247059,https://project-archive.inf.ed.ac.uk/msc/20247059/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Reimagining Generative Agents: 3D Architecture Implementation and LLM Caching Optimisation Jinyoung Jeong T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract Human behaviour simulation has been a topic of interest for decades, with applications ranging from social simulations to video games. Traditional",UoE Informatics Outstanding MSc Archive
2023-2024,"Jethani, Sahil",Leveraging Sentence-T5 for Sequential Recommendation,20247333,https://project-archive.inf.ed.ac.uk/msc/20247333/msc_proj.pdf,MSc School Of Informatics,False,2024,Leveraging Sentence-T5 for Sequential Recommendation Sahil Jethani T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract This research explores the application of large language models (LLMs) for sequential recommendation tasks. We propose a novel approach that reformulates sequential recommendation as a sentence retrieval probl,UoE Informatics Outstanding MSc Archive
2023-2024,"Ji, Haowen",Conversational Question Answering over Knowledge Graphs,20247412,https://project-archive.inf.ed.ac.uk/msc/20247412/msc_proj.pdf,MSc Data Science,False,2024,Conversational Question Answering over Knowledge Graphs based on Semantic Retrieval and Large Language Model Haowen Ji T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Data Science School of Informatics University of Edinburgh 2024 Abstract Conversational Question Answering over Knowledge Graphs (KGQA) is a critical task that focuses on developing systems capable of understanding an,UoE Informatics Outstanding MSc Archive
2023-2024,"Ji, Longbin",Trajectory-Guided 3D-Aware and Identity Consistent Video,20247267,https://project-archive.inf.ed.ac.uk/msc/20247267/msc_proj.pdf,MSc School Of Informatics,False,2024,"Trajectory-Guided 3D-Aware and Identity Consistent Video Generation Longbin Ji T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract In recent years, the efficient application of reliable video generation in file making, game development and other fields has gained significant attention. Built upon these, trajectory-controllable",UoE Informatics Outstanding MSc Archive
2023-2024,"Jian, Mingyue",Analysing the Communicative Effectiveness of Large Language,20247342,https://project-archive.inf.ed.ac.uk/msc/20247342/msc_proj.pdf,MSc Cognitive Science,False,2024,Analysing the Communicative Effectiveness of Large Language Models under the Rational Speech Act Framework Mingyue Jian T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Cognitive Science School of Informatics University of Edinburgh 2024 Abstract Are large language models (LLMs) capable of behaving like pragmatic speakers? While most current studies focus on evaluating LLMs’ ability,UoE Informatics Outstanding MSc Archive
2023-2024,"Jiang, Lucia",Task Graph Scheduling as an Educational Game,20247064,https://project-archive.inf.ed.ac.uk/msc/20247064/msc_proj.pdf,MSc Computer Science,False,2024,Task Graph Scheduling as an Educational Game Lucia Jiang T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract This dissertation presents the development and evaluation of a gamified educational ap- plication designed to teach task graph scheduling algorithms. The application addresses the limitations of traditi,UoE Informatics Outstanding MSc Archive
2023-2024,"Kadhappullapatty Balakrishnan, Dharmavenkatesan",Agent-Based Modeling of Retailer Tobacco Licensing Fees:,20247159,https://project-archive.inf.ed.ac.uk/msc/20247159/msc_proj.pdf,MSc Data Science,False,2024,"Agent-Based Modeling of Retailer Tobacco Licensing Fees: Assessing Socioeconomic Impacts on Smokers Dharmavenkatesan Kadhappullapatty Balakrishnan T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Data Science School of Informatics University of Edinburgh 2024 Abstract The project was undertaken to explore how tobacco retailer licensing fees could influ- ence smoking prevalence, part",UoE Informatics Outstanding MSc Archive
2023-2024,"Kazakov, Sava",Variational Quantum Solutions for the Learning with Errors,20247394,https://project-archive.inf.ed.ac.uk/msc/20247394/msc_proj.pdf,MSc Informatics,False,2024,"Variational Quantum Solutions for the Learning with Errors Problem and Implications on Post-Quantum Cryptography Sava Kazakov T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Informatics School of Informatics University of Edinburgh 2024 Abstract This dissertation explores the application of NISQ-era quantum algorithms, particularly the Quantum Approximate Optimization Algorithm (QA",UoE Informatics Outstanding MSc Archive
2023-2024,"Kiwia, Derick",Sensing Spaces: A Study in Mapping Air Pollution in Public,20247418,https://project-archive.inf.ed.ac.uk/msc/20247418/msc_proj.pdf,MSc School Of Informatics,False,2024,"Sensing Spaces: A Study in Mapping Air Pollution in Public Spaces using Personal Exposure Monitors Derick Daniel Kiwia T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract The rapid increase in global air pollution poses a significant threat to both the environ- ment and human health, contributing to millions of premature death",UoE Informatics Outstanding MSc Archive
2023-2024,"Kore, Aditya Anirudha",Becoming a Bug Bounty Hunter,20247332,https://project-archive.inf.ed.ac.uk/msc/20247332/msc_proj.pdf,MSc School Of Informatics,False,2024,Becoming a Bug Bounty Hunter Aditya Kore T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract The process of identifying and reporting security vulnerabilities in a web application or software in return for monetary rewards is known as Bug Bounty Hunting. This paper presents an overview of the experiences of a bug bounty hunter,UoE Informatics Outstanding MSc Archive
2023-2024,"Kristo, Teofebano",Predicting Startup Success through Community Detection in,20247156,https://project-archive.inf.ed.ac.uk/msc/20247156/msc_proj.pdf,MSc School Of Informatics,False,2024,"Predicting Startup Success through Community Detection in Bipartite Networks of Startups and Investors Using Stochastic Block Models Teofebano Kristo T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science School of Informatics University of Edinburgh 2024 Abstract The startup industry, despite its potential to drive economic growth and innovation, faces high failure rates, posing signific",UoE Informatics Outstanding MSc Archive
2023-2024,"Kuchta, Patryk",Hard-Routed Adapters: Enhancing API Calls in Multi-Agent,20247108,https://project-archive.inf.ed.ac.uk/msc/20247108/msc_proj.pdf,MSc Artificial Intelligence,True,2024,"Hard-Routed Adapters: Enhancing API Calls in Multi-Agent LLM Pipelines Patryk Kuchta T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Artificial Intelligence School of Informatics University of Edinburgh 2024 Abstract The market proliferation of voice assistants (Canalys, 2021), has encouraged the inves- tigation of Tool-Use capabilities powered by Large Language Models (LLMs). Qin ",UoE Informatics Outstanding MSc Archive
2023-2024,"Kulaj, Sebastian",Distributed Incremental Processing using Apache Flink,20246929,https://project-archive.inf.ed.ac.uk/msc/20246929/msc_proj.pdf,MSc Computer Science,False,2024,"Distributed Incremental Processing using Apache Flink Sebastian Kulaj T H E U N I V E R SIT Y O F E D I N B U R G H Master of Science Computer Science School of Informatics University of Edinburgh 2024 Abstract As we produce and process continuously increasing amounts of data, the need for effi- cient data processing is becoming even more essential. Over the years, researchers have presented many ",UoE Informatics Outstanding MSc Archive
